,True values,Pred1,temperature,time,composition
17,100.09,185.87388059701496,2700.0,300.0,HfC - 34% SiC
18,175.84,230.15597014925376,2700.0,600.0,HfC - 34% SiC
25,76.0,61.44776119402985,2700.0,180.0,HfC
28,29.0,53.61194029850746,2700.0,180.0,HfC - 20% TaC
32,28.0,120.42089552238807,2700.0,300.0,HfC - 50% TaC
41,300.0,231.18671641791045,1726.0,1200.0,ZrC - 15% TaSi2
52,1000.0,394.07462686567163,1600.0,900.0,TaC - 15% TaSi2
44,145.0,410.75298507462685,1500.0,9000.0,HfC - 10% TaSi2 - 15% SiC fibers
57,1250.0,539.1044776119403,1500.0,7200.0,HfC 
59,100.0,282.42805970149254,1500.0,3600.0,HfC - 5% SiCN
63,100.0,234.4579104477612,1500.0,3600.0,HfC - 10% SiCN
76,250.0,229.00507462686568,1500.0,1800.0,1TaC - 4HfC
21,290.0,245.76388059701492,1100.0,900.0,ZrC - 30% SiC
